medium_id	original	mapped	chebi_label	chebi_formula	value	concentration	unit	mmol_l	optional	source	normalized_compound	hydration_number	chebi_match	chebi_id	chebi_original_name	similarity_score	match_confidence	matching_method	mapping_status	mapping_quality	base_compound	base_formula	water_molecules	hydrate_formula	base_chebi_id	base_chebi_label	base_chebi_formula	hydration_state	hydration_parsing_method	hydration_confidence	base_compound_for_mapping	base_molecular_weight	water_molecular_weight	hydrated_molecular_weight	corrected_mmol_l	hydrated_chebi_id	hydrated_chebi_label	hydrate_mapping_source
ccap_ASW_Barley_composition	NaNO3	CHEBI:63005			1.0		g			json		0							original_only	good	NaNO3	NaNO3		NaNO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_Barley_composition	Nicotinic acid	CHEBI:15940	nicotinic acid	C6H5NO2	1.0		g			json		0							original_only	good	Nicotinic acid	Nicotinicacid		Nicotinicacid					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_Barley_composition	Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl	1.0		g			json		0							original_only	good	Thiamine HCl	ThiamineHCl		ThiamineHCl					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_SES_composition	Biotin	CHEBI:15956	biotin	C10H16N2O3S	1.0		g			json		0							original_only	good	Biotin	Biotin		Biotin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_SES_composition	Calcium pantothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca	1.0		g			json		0							original_only	good	Calcium pantothenate	Calciumpantothenate		Calciumpantothenate					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_SES_composition	Cyanocobalamin	CHEBI:17439	cyanocob(III)alamin	C63H88CoN14O14P	1.0		g			json		0							original_only	good	Cyanocobalamin	Cyanocobalamin		Cyanocobalamin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_SES_composition	Folic Acid	CHEBI:27470	folic acid	C19H19N7O6	1.0		g			json		0							original_only	good	Folic Acid	FolicAcid		FolicAcid					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_SES_composition	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K	1.0		g			json		0							original_only	good	K2HPO4	K2HPO4		K2HPO4					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_SES_composition	Na2HPO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na	1.0		g			json		0							original_only	good	Na2HPO4	Na2HPO4		Na2HPO4					no_hydration	high		141.96	0.0	141.96	7.044238			
ccap_ASW_SES_composition	NaNO3	CHEBI:63005			1.0		g			json		0							original_only	good	NaNO3	NaNO3		NaNO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_SES_composition	Nicotinic Acid	CHEBI:15940	nicotinic acid	C6H5NO2	1.0		g			json		0							original_only	good	Nicotinic Acid	NicotinicAcid		NicotinicAcid					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_SES_composition	Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl	1.0		g			json		0							original_only	good	Thiamine HCl	ThiamineHCl		ThiamineHCl					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_composition	Biotin	CHEBI:15956	biotin	C10H16N2O3S	1.0		g			json		0							original_only	good	Biotin	Biotin		Biotin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_composition	Calcium pantothenate	CHEBI:31345	Calcium pantothenate	2C9H16NO5.Ca	1.0		g			json		0							original_only	good	Calcium pantothenate	Calciumpantothenate		Calciumpantothenate					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_composition	Cyanocobalamin	CHEBI:17439	cyanocob(III)alamin	C63H88CoN14O14P	1.0		g			json		0							original_only	good	Cyanocobalamin	Cyanocobalamin		Cyanocobalamin					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_composition	Folic acid	CHEBI:27470	folic acid	C19H19N7O6	1.0		g			json		0							original_only	good	Folic acid	Folicacid		Folicacid					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_composition	K2HPO4	CHEBI:131527	dipotassium hydrogen phosphate	HO4P.2K	1.0		g			json		0							original_only	good	K2HPO4	K2HPO4		K2HPO4					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_composition	Na2HPO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na	1.0		g			json		0							original_only	good	Na2HPO4	Na2HPO4		Na2HPO4					no_hydration	high		141.96	0.0	141.96	7.044238			
ccap_ASW_composition	NaNO3	CHEBI:63005			1.0		g			json		0							original_only	good	NaNO3	NaNO3		NaNO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_composition	Nicotinic acid	CHEBI:15940	nicotinic acid	C6H5NO2	1.0		g			json		0							original_only	good	Nicotinic acid	Nicotinicacid		Nicotinicacid					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_ASW_composition	Thiamine HCl	CHEBI:49105	thiamine hydrochloride	C12H17N4OS.Cl.HCl	1.0		g			json		0							original_only	good	Thiamine HCl	ThiamineHCl		ThiamineHCl					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_BB_MErds_composition	Co(NO3)2.6H2O	CHEBI:86214	cobalt dinitrate hexahydrate	Co.6H2O.2NO3	1.0		g			json		6							original_only	good	Co(NO3)2	Co(NO3)2		Co(NO3)2.6H2O					hydrate_pattern	high		100.0	108.09	208.09	4.805613			no_match
ccap_BB_MErds_composition	CuSO4.5H2O	CHEBI:31440	copper(II) sulfate pentahydrate	Cu.5H2O.O4S	1.0		g			json		5							original_only	good	CuSO4	CuSO4		CuSO4.5H2O	CHEBI:23414				hydrate_pattern	very_high		159.61	90.075	249.685	4.005046			no_match
ccap_BB_MErds_composition	KOH	CHEBI:32035	potassium hydroxide	HO.K	1.0		g			json		0							original_only	good	KOH	KOH		KOH					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_BB_MErds_composition	MoO3	CHEBI:30627	molybdenum trioxide	MoO3	1.0		g			json		0							original_only	good	MoO3	MoO3		MoO3					no_hydration	high		100.0	0.0	100.0	10.0			
ccap_BB_MErds_composition	Na2HPO4	CHEBI:34683	disodium hydrogenphosphate	HO4P.2Na	1.0		g			json		0							original_only	good	Na2HPO4	Na2HPO4		Na2HPO4					no_hydration	high		141.96	0.0	141.96	7.044238			
